MaxBins,App,Time,Cost,NDistinct,Infs,Size,Placement
6,speakToMe,0.999,64.3997,6,28755,128,"({'textBucket': 'n105', 'audioBucket': 'n105', 'mainDB': 'n105', 'postQueue': 'n71', 'converter': 'n82', 'uploadPost': 'n10', 'metaPost': 'n39', 'publishPost': 'n20', 'convertTxt': 'n39', 'uploadAudio': 'n10', 'metaAudio': 'n39'},)"
7,speakToMe,1.008,64.3997,6,28755,128,"({'textBucket': 'n105', 'audioBucket': 'n105', 'mainDB': 'n105', 'postQueue': 'n71', 'converter': 'n82', 'uploadPost': 'n10', 'metaPost': 'n39', 'publishPost': 'n20', 'convertTxt': 'n39', 'uploadAudio': 'n10', 'metaAudio': 'n39'},)"
8,speakToMe,0.977,64.3997,6,28755,128,"({'textBucket': 'n105', 'audioBucket': 'n105', 'mainDB': 'n105', 'postQueue': 'n71', 'converter': 'n82', 'uploadPost': 'n10', 'metaPost': 'n39', 'publishPost': 'n20', 'convertTxt': 'n39', 'uploadAudio': 'n10', 'metaAudio': 'n39'},)"
9,speakToMe,0.998,64.3997,6,28755,128,"({'textBucket': 'n105', 'audioBucket': 'n105', 'mainDB': 'n105', 'postQueue': 'n71', 'converter': 'n82', 'uploadPost': 'n10', 'metaPost': 'n39', 'publishPost': 'n20', 'convertTxt': 'n39', 'uploadAudio': 'n10', 'metaAudio': 'n39'},)"
10,speakToMe,0.974,64.3997,6,28755,128,"({'textBucket': 'n105', 'audioBucket': 'n105', 'mainDB': 'n105', 'postQueue': 'n71', 'converter': 'n82', 'uploadPost': 'n10', 'metaPost': 'n39', 'publishPost': 'n20', 'convertTxt': 'n39', 'uploadAudio': 'n10', 'metaAudio': 'n39'},)"
11,speakToMe,0.992,64.3997,6,28755,128,"({'textBucket': 'n105', 'audioBucket': 'n105', 'mainDB': 'n105', 'postQueue': 'n71', 'converter': 'n82', 'uploadPost': 'n10', 'metaPost': 'n39', 'publishPost': 'n20', 'convertTxt': 'n39', 'uploadAudio': 'n10', 'metaAudio': 'n39'},)"
2,speakToMe,3.308,243.7348,2,89601,256,"({'textBucket': 'n127', 'audioBucket': 'n127', 'mainDB': 'n127', 'postQueue': 'n127', 'converter': 'n22', 'uploadPost': 'n127', 'metaPost': 'n22', 'publishPost': 'n127', 'convertTxt': 'n22', 'uploadAudio': 'n127', 'metaAudio': 'n22'},)"
3,speakToMe,3.285,64.9858,3,89601,256,"({'textBucket': 'n63', 'audioBucket': 'n63', 'mainDB': 'n63', 'postQueue': 'n63', 'converter': 'n22', 'uploadPost': 'n126', 'metaPost': 'n22', 'publishPost': 'n126', 'convertTxt': 'n22', 'uploadAudio': 'n126', 'metaAudio': 'n22'},)"
4,speakToMe,3.245,64.3997,4,89601,256,"({'textBucket': 'n63', 'audioBucket': 'n63', 'mainDB': 'n63', 'postQueue': 'n63', 'converter': 'n22', 'uploadPost': 'n164', 'metaPost': 'n31', 'publishPost': 'n164', 'convertTxt': 'n31', 'uploadAudio': 'n164', 'metaAudio': 'n31'},)"
5,speakToMe,3.177,64.3997,5,89601,256,"({'textBucket': 'n63', 'audioBucket': 'n63', 'mainDB': 'n63', 'postQueue': 'n0', 'converter': 'n22', 'uploadPost': 'n130', 'metaPost': 'n70', 'publishPost': 'n130', 'convertTxt': 'n70', 'uploadAudio': 'n130', 'metaAudio': 'n70'},)"
6,speakToMe,3.209,64.3997,5,89601,256,"({'textBucket': 'n63', 'audioBucket': 'n63', 'mainDB': 'n63', 'postQueue': 'n0', 'converter': 'n22', 'uploadPost': 'n130', 'metaPost': 'n70', 'publishPost': 'n130', 'convertTxt': 'n70', 'uploadAudio': 'n130', 'metaAudio': 'n70'},)"
7,speakToMe,3.192,64.3997,5,89601,256,"({'textBucket': 'n63', 'audioBucket': 'n63', 'mainDB': 'n63', 'postQueue': 'n0', 'converter': 'n22', 'uploadPost': 'n130', 'metaPost': 'n70', 'publishPost': 'n130', 'convertTxt': 'n70', 'uploadAudio': 'n130', 'metaAudio': 'n70'},)"
8,speakToMe,3.232,64.3997,5,89601,256,"({'textBucket': 'n63', 'audioBucket': 'n63', 'mainDB': 'n63', 'postQueue': 'n0', 'converter': 'n22', 'uploadPost': 'n130', 'metaPost': 'n70', 'publishPost': 'n130', 'convertTxt': 'n70', 'uploadAudio': 'n130', 'metaAudio': 'n70'},)"
9,speakToMe,3.198,64.3997,5,89601,256,"({'textBucket': 'n63', 'audioBucket': 'n63', 'mainDB': 'n63', 'postQueue': 'n0', 'converter': 'n22', 'uploadPost': 'n130', 'metaPost': 'n70', 'publishPost': 'n130', 'convertTxt': 'n70', 'uploadAudio': 'n130', 'metaAudio': 'n70'},)"
10,speakToMe,3.202,64.3997,5,89601,256,"({'textBucket': 'n63', 'audioBucket': 'n63', 'mainDB': 'n63', 'postQueue': 'n0', 'converter': 'n22', 'uploadPost': 'n130', 'metaPost': 'n70', 'publishPost': 'n130', 'convertTxt': 'n70', 'uploadAudio': 'n130', 'metaAudio': 'n70'},)"
11,speakToMe,3.25,64.3997,5,89601,256,"({'textBucket': 'n63', 'audioBucket': 'n63', 'mainDB': 'n63', 'postQueue': 'n0', 'converter': 'n22', 'uploadPost': 'n130', 'metaPost': 'n70', 'publishPost': 'n130', 'convertTxt': 'n70', 'uploadAudio': 'n130', 'metaAudio': 'n70'},)"
2,distSecurity,0.013,586.322,2,268,16,"({'mainDB': 'n10', 'detector': 'n10', 'recognizer': 'n7', 'traje': 'n10', 'logger': 'n7'},)"
3,distSecurity,0.013,105.2548,3,268,16,"({'mainDB': 'n14', 'detector': 'n0', 'recognizer': 'n7', 'traje': 'n0', 'logger': 'n7'},)"
